symbol,source,published_at,headline,summary,clean_text,event_type,is_routine,is_potentially_negative,impact_direction,severity_score,confidence_score,flag_reason,parser_version,human_label,human_comment,raw_id
BHARTIARTL,NSE_CORP_ANN,,Change in Management,Bharti Airtel Limited has informed the Exchange about change in Management,Change in Management Bharti Airtel Limited has informed the Exchange about change in Management,OTHER,False,False,NEUTRAL,0.0,0.5,,v3.0,,,
BHARTIARTL,NSE_CORP_ANN,,Action(s) taken or orders passed,Bharti Airtel Limited has informed the Exchange about Action(s) taken or orders passed,Action(s) taken or orders passed Bharti Airtel Limited has informed the Exchange about Action(s) taken or orders passed,OTHER,False,False,NEUTRAL,0.0,0.5,,v3.0,,,
BIOCON,NSE_CORP_ANN,,Press Release,"Biocon Limited has informed the Exchange regarding a press release dated December 23, 2025, titled ""Biocon Biologics Secures Full Global Rights to Biosimilar Adalimumab through Expanded FKB In-Licensing Agreement"".","Press Release Biocon Limited has informed the Exchange regarding a press release dated December 23, 2025, titled ""Biocon Biologics Secures Full Global Rights to Biosimilar Adalimumab through Expanded FKB In-Licensing Agreement"".",OTHER,False,False,NEUTRAL,0.0,0.5,,v3.0,,,
BIOCON,NSE_CORP_ANN,,General Updates,Biocon Limited has informed the Exchange about Issue of Commercial Papers,General Updates Biocon Limited has informed the Exchange about Issue of Commercial Papers,OTHER,False,False,NEUTRAL,0.0,0.5,,v3.0,,,
BIOCON,NSE_CORP_ANN,,Updates,Biocon Limited has informed the Exchange regarding 'Notification to Stock Exchanges'.,Updates Biocon Limited has informed the Exchange regarding 'Notification to Stock Exchanges'.,OTHER,False,False,NEUTRAL,0.0,0.5,,v3.0,,,
BIOCON,NSE_CORP_ANN,,Press Release,"Biocon Limited has informed the Exchange regarding a press release dated December 17, 2025, titled ""Biocon Biologics Recognized as Asia IP Elite for 2025 by IAM."".","Press Release Biocon Limited has informed the Exchange regarding a press release dated December 17, 2025, titled ""Biocon Biologics Recognized as Asia IP Elite for 2025 by IAM."".",OTHER,False,False,NEUTRAL,0.0,0.5,,v3.0,,,
BIOCON,NSE_CORP_ANN,,Credit Rating,Biocon Limited has informed the Exchange about Credit Rating,Credit Rating Biocon Limited has informed the Exchange about Credit Rating,OTHER,False,False,NEUTRAL,0.0,0.5,,v3.0,,,
BIOCON,NSE_CORP_ANN,,Credit Rating,Biocon Limited has informed the Exchange about Credit Rating,Credit Rating Biocon Limited has informed the Exchange about Credit Rating,OTHER,False,False,NEUTRAL,0.0,0.5,,v3.0,,,
BOSCHLTD,NSE_CORP_ANN,,Action(s) taken or orders passed,Bosch Limited has informed the Exchange about Action(s) taken or orders passed,Action(s) taken or orders passed Bosch Limited has informed the Exchange about Action(s) taken or orders passed,OTHER,False,False,NEUTRAL,0.0,0.5,,v3.0,,,
BRITANNIA,NSE_CORP_ANN,,Action(s) taken or orders passed,"Pursuant to Regulation 30 read with Clause 20 of Para A of Part A of Schedule III of the SEBI Listing Regulations, 2015, this is to inform you that the Company has received an Order from the Office of the Deputy Commissioner of State Tax, Mumbai Audit Zone III 504, Mazgaon, Mumbai.","Action(s) taken or orders passed Pursuant to Regulation 30 read with Clause 20 of Para A of Part A of Schedule III of the SEBI Listing Regulations, 2015, this is to inform you that the Company has received an Order from the Office of the Deputy Commissioner of State Tax, Mumbai Audit Zone III 504, Mazgaon, Mumbai.",OTHER,False,True,WATCH,7.5,0.95,PATTERN_MATCH_order.*received.*tax,v3.0,,,
CGPOWER,NSE_CORP_ANN,,Analysts/Institutional Investor Meet/Con. Call Updates,CG Power and Industrial Solutions Limited has informed the Exchange about Schedule of meet,Analysts/Institutional Investor Meet/Con. Call Updates CG Power and Industrial Solutions Limited has informed the Exchange about Schedule of meet,OTHER,True,False,NEUTRAL,0.0,0.5,,v3.0,,,
CGPOWER,NSE_CORP_ANN,,Updates,"CG Power and Industrial Solutions Limited has informed the Exchange regarding 'Disclosure under Regulation 31A of SEBI LODR, Regulations, 2015'.","Updates CG Power and Industrial Solutions Limited has informed the Exchange regarding 'Disclosure under Regulation 31A of SEBI LODR, Regulations, 2015'.",OTHER,False,False,NEUTRAL,0.0,0.5,,v3.0,,,
CANBK,NSE_CORP_ANN,,Updates,Canara Bank has informed the Exchange regarding 'Credit confirmation of Annual Interest Payment & Redemption Payment'.,Updates Canara Bank has informed the Exchange regarding 'Credit confirmation of Annual Interest Payment & Redemption Payment'.,OTHER,False,False,NEUTRAL,0.0,0.5,,v3.0,,,
CDSL,NSE_CORP_ANN,,Analysts/Institutional Investor Meet/Con. Call Updates,"CDSL has informed the Exchange about the schedule of the Analyst Meet to be held on Friday, December 26, 2025.","Analysts/Institutional Investor Meet/Con. Call Updates CDSL has informed the Exchange about the schedule of the Analyst Meet to be held on Friday, December 26, 2025.",OTHER,True,False,NEUTRAL,0.0,0.5,,v3.0,,,
COALINDIA,NSE_CORP_ANN,,General Updates,"Coal India Limited has informed the Exchange about General Updates-Additional charge arrangement for the post of Chairman cum Managing Director, Northern Coalfields Limited (NCL) to CMD, CIL.","General Updates Coal India Limited has informed the Exchange about General Updates-Additional charge arrangement for the post of Chairman cum Managing Director, Northern Coalfields Limited (NCL) to CMD, CIL.",OTHER,False,False,NEUTRAL,0.0,0.5,,v3.0,,,
COALINDIA,NSE_CORP_ANN,,Press Release,"Coal India Limited has informed the Exchange regarding a press release dated December 16, 2025, titled ""Mr. B Sairam new Coal India Chief"".","Press Release Coal India Limited has informed the Exchange regarding a press release dated December 16, 2025, titled ""Mr. B Sairam new Coal India Chief"".",OTHER,False,False,NEUTRAL,0.0,0.5,,v3.0,,,
COFORGE,NSE_CORP_ANN,,Trading Window,"Coforge Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","Trading Window Coforge Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015",OTHER,True,False,NEUTRAL,0.0,0.5,,v3.0,,,
COFORGE,NSE_CORP_ANN,,Analysts/Institutional Investor Meet/Con. Call Updates,Coforge Limited has informed the Exchange about Schedule of meet,Analysts/Institutional Investor Meet/Con. Call Updates Coforge Limited has informed the Exchange about Schedule of meet,OTHER,True,False,NEUTRAL,0.0,0.5,,v3.0,,,
COFORGE,NSE_CORP_ANN,,Analysts/Institutional Investor Meet/Con. Call Updates,Coforge Limited has informed the Exchange about Schedule of meet,Analysts/Institutional Investor Meet/Con. Call Updates Coforge Limited has informed the Exchange about Schedule of meet,OTHER,True,False,NEUTRAL,0.0,0.5,,v3.0,,,
COFORGE,NSE_CORP_ANN,,Analysts/Institutional Investor Meet/Con. Call Updates,Coforge Limited has informed the Exchange about Schedule of meet,Analysts/Institutional Investor Meet/Con. Call Updates Coforge Limited has informed the Exchange about Schedule of meet,OTHER,True,False,NEUTRAL,0.0,0.5,,v3.0,,,
COFORGE,NSE_CORP_ANN,,General Updates,Coforge Limited has informed the Exchange about Filing of Second Motion Petition with the Hon ble National Company Law Tribunal ( NCLT ),General Updates Coforge Limited has informed the Exchange about Filing of Second Motion Petition with the Hon ble National Company Law Tribunal ( NCLT ),OTHER,False,False,NEUTRAL,0.0,0.5,,v3.0,,,
COFORGE,NSE_CORP_ANN,,Press Release,"Coforge Limited has informed the Exchange regarding a press release dated December 16, 2025, titled ""Coforge Unveils  Data Cosmos    A Next-Gen AI-Enabled, Cloud-Native Data & Analytics Platform Designed to Accelerate Enterprise Transformation"".","Press Release Coforge Limited has informed the Exchange regarding a press release dated December 16, 2025, titled ""Coforge Unveils Data Cosmos A Next-Gen AI-Enabled, Cloud-Native Data & Analytics Platform Designed to Accelerate Enterprise Transformation"".",OTHER,False,False,NEUTRAL,0.0,0.5,,v3.0,,,
CAMS,NSE_CORP_ANN,,Analysts/Institutional Investor Meet/Con. Call Updates,Computer Age Management Services Limited has informed the Exchange about Schedule of meet,Analysts/Institutional Investor Meet/Con. Call Updates Computer Age Management Services Limited has informed the Exchange about Schedule of meet,OTHER,True,False,NEUTRAL,0.0,0.5,,v3.0,,,
CAMS,NSE_CORP_ANN,,Trading Window,"Computer Age Management Services Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","Trading Window Computer Age Management Services Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015",OTHER,True,False,NEUTRAL,0.0,0.5,,v3.0,,,
CAMS,NSE_CORP_ANN,,Change in Director(s),Computer Age Management Services Limited has informed the Exchange regarding Change in Director(s) of the company.,Change in Director(s) Computer Age Management Services Limited has informed the Exchange regarding Change in Director(s) of the company.,OTHER,False,False,NEUTRAL,0.0,0.5,,v3.0,,,
CAMS,NSE_CORP_ANN,,Outcome of Board Meeting,"Computer Age Management Services Limited has informed the Exchange regarding  Board meeting held on December 22, 2025.","Outcome of Board Meeting Computer Age Management Services Limited has informed the Exchange regarding Board meeting held on December 22, 2025.",OTHER,True,False,NEUTRAL,0.0,0.5,,v3.0,,,
CAMS,NSE_CORP_ANN,,Analysts/Institutional Investor Meet/Con. Call Updates,Computer Age Management Services Limited has informed the Exchange about Schedule of meet,Analysts/Institutional Investor Meet/Con. Call Updates Computer Age Management Services Limited has informed the Exchange about Schedule of meet,OTHER,True,False,NEUTRAL,0.0,0.5,,v3.0,,,
CAMS,NSE_CORP_ANN,,Agreements,Computer Age Management Services Limited has informed the Exchange about Business Transfer Agreement executed between the Company and its wholly owned subsidiary on 17th December 2025.,Agreements Computer Age Management Services Limited has informed the Exchange about Business Transfer Agreement executed between the Company and its wholly owned subsidiary on 17th December 2025.,OTHER,False,False,NEUTRAL,0.0,0.5,,v3.0,,,
CONCOR,NSE_CORP_ANN,,General Updates,Disclosure under Regulation 30 of SEBI (LODR) Regulations 2015,General Updates Disclosure under Regulation 30 of SEBI (LODR) Regulations 2015,OTHER,False,False,NEUTRAL,0.0,0.5,,v3.0,,,
CONCOR,NSE_CORP_ANN,,Change in Management,Container Corporation Of India Limited has informed the Exchange about change in Management,Change in Management Container Corporation Of India Limited has informed the Exchange about change in Management,OTHER,False,False,NEUTRAL,0.0,0.5,,v3.0,,,
CROMPTON,NSE_CORP_ANN,,Action(s) taken or orders passed,Crompton Greaves Consumer Electricals Limited has informed the Exchange about Action(s) taken or orders passed,Action(s) taken or orders passed Crompton Greaves Consumer Electricals Limited has informed the Exchange about Action(s) taken or orders passed,OTHER,False,False,NEUTRAL,0.0,0.5,,v3.0,,,
CROMPTON,NSE_CORP_ANN,,General Updates,Crompton Greaves Consumer Electricals Limited has informed the Exchange about General Updates,General Updates Crompton Greaves Consumer Electricals Limited has informed the Exchange about General Updates,OTHER,False,False,NEUTRAL,0.0,0.5,,v3.0,,,
