symbol,source,published_at,headline,summary
BHARTIARTL,NSE_CORP_ANN,,General Updates,"Bharti Airtel Limited has informed the Exchange about the outcome of the Board meeting dt. December 18, 2025 w.r.t. First and Final Call on partly paid-up equity shares."
BHARTIARTL,NSE_CORP_ANN,,Change in Director(s),Bharti Airtel Limited has informed the Exchange regarding Change in Director(s) of the company.
BHARTIARTL,NSE_CORP_ANN,,Change in Management,Bharti Airtel Limited has informed the Exchange about change in Management
BHARTIARTL,NSE_CORP_ANN,,Action(s) taken or orders passed,Bharti Airtel Limited has informed the Exchange about Action(s) taken or orders passed
BIOCON,NSE_CORP_ANN,,Updates,Biocon Limited has informed the Exchange regarding 'Notification to Stock Exchanges'.
BIOCON,NSE_CORP_ANN,,Press Release,"Biocon Limited has informed the Exchange regarding a press release dated December 17, 2025, titled ""Biocon Biologics Recognized as Asia IP Elite for 2025 by IAM.""."
BIOCON,NSE_CORP_ANN,,Credit Rating,Biocon Limited has informed the Exchange about Credit Rating
BIOCON,NSE_CORP_ANN,,Credit Rating,Biocon Limited has informed the Exchange about Credit Rating
BIOCON,NSE_CORP_ANN,,Press Release,"Biocon Limited has informed the Exchange regarding a press release dated December 15, 2025, titled ""Biocon Limited launches its Glucagon-like Peptide-1 (GLP -1), Liraglutide, in the Netherlands""."
BIOCON,NSE_CORP_ANN,,Press Release,"Biocon Limited has informed the Exchange regarding a press release dated December 13, 2025, titled ""Biocon Biologics Signs Settlement and License Agreement to Commercialize Biosimilar Aflibercept Worldwide""."
BIOCON,NSE_CORP_ANN,,Press Release,"Biocon Limited has informed the Exchange regarding a press release dated December 11, 2025, titled ""S&P Global Places Biocon Biologics on Positive CreditWatchOn Account of Accelerated Debt Reduction""."
BOSCHLTD,NSE_CORP_ANN,,Trading Window,"Bosch Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
BRITANNIA,NSE_CORP_ANN,,Change in Management,"Pursuant to Regulation 30 read with Clause 7 of Para A of Part A of Schedule III of the SEBI Listing Regulations, 2015, this is to inform you that the Board of Directors, based on the recommendation of the Nomination and Remuneration Committee, have approved the following:  Appointment of Mr. Abhishek Sinha as the Chief Sales Transformation Officer of the Company with effect from 15th December, 2025.Appointment of Mr. Subhashis Basu as the Chief Business Officer-Dairy of the Company with effect from 15th December, 2025."
BRITANNIA,NSE_CORP_ANN,,General Updates,"Intimation under Regulation 30 of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015"
CGPOWER,NSE_CORP_ANN,,Updates,"CG Power and Industrial Solutions Limited has informed the Exchange regarding 'Disclosure under Regulation 31A of SEBI LODR, Regulations, 2015'."
CGPOWER,NSE_CORP_ANN,,ESOP/ESOS/ESPS,CG Power and Industrial Solutions Limited has informed the Exchange regarding Allotment of 40000  Shares.
CANBK,NSE_CORP_ANN,,Updates,Canara Bank has informed the Exchange regarding 'Credit confirmation of Annual Interest Payment & Redemption Payment'.
CANBK,NSE_CORP_ANN,,Updates,Canara Bank has informed the Exchange regarding ''.
CHOLAFIN,NSE_CORP_ANN,,Updates,"Cholamandalam Investment and Finance Company Limited has informed the Exchange regarding 'Intimation under Regulation 31(A)(8) of SEBI Listing Regulations, 2015'."
CHOLAFIN,NSE_CORP_ANN,,ESOP/ESOS/ESPS,Cholamandalam Investment and Finance Company Limited has informed the Exchange regarding Allotment of 98980  Shares.
CIPLA,NSE_CORP_ANN,,ESOP/ESOS/ESPS,Cipla Limited has informed the Exchange regarding Allotment of 585  Shares.
COALINDIA,NSE_CORP_ANN,,General Updates,"Coal India Limited has informed the Exchange about General Updates-Additional charge arrangement for the post of Chairman cum Managing Director, Northern Coalfields Limited (NCL) to CMD, CIL."
COALINDIA,NSE_CORP_ANN,,Press Release,"Coal India Limited has informed the Exchange regarding a press release dated December 16, 2025, titled ""Mr. B Sairam new Coal India Chief""."
COALINDIA,NSE_CORP_ANN,,Change in Director(s),Coal India Limited has informed the Exchange regarding Change in Director(s) of the company.
COFORGE,NSE_CORP_ANN,,General Updates,Coforge Limited has informed the Exchange about Filing of Second Motion Petition with the Hon ble National Company Law Tribunal ( NCLT )
COFORGE,NSE_CORP_ANN,,Press Release,"Coforge Limited has informed the Exchange regarding a press release dated December 16, 2025, titled ""Coforge Unveils  Data Cosmos    A Next-Gen AI-Enabled, Cloud-Native Data & Analytics Platform Designed to Accelerate Enterprise Transformation""."
COFORGE,NSE_CORP_ANN,,General Updates,Coforge Limited has informed the Exchange about Allotment of Equity Shares under ESOP Scheme
CAMS,NSE_CORP_ANN,,Agreements,Computer Age Management Services Limited has informed the Exchange about Business Transfer Agreement executed between the Company and its wholly owned subsidiary on 17th December 2025.
CAMS,NSE_CORP_ANN,,Analysts/Institutional Investor Meet/Con. Call Updates,Computer Age Management Services Limited has informed the Exchange about Schedule of meet
CAMS,NSE_CORP_ANN,,Analysts/Institutional Investor Meet/Con. Call Updates,Computer Age Management Services Limited has informed the Exchange about Schedule of meet
CROMPTON,NSE_CORP_ANN,,Action(s) taken or orders passed,Crompton Greaves Consumer Electricals Limited has informed the Exchange about Action(s) taken or orders passed
CROMPTON,NSE_CORP_ANN,,Action(s) initiated or orders passed,Crompton Greaves Consumer Electricals Limited has informed the Exchange about Action(s) initiated or orders passed
CROMPTON,NSE_CORP_ANN,,Bagging/Receiving of orders/contracts,Crompton Greaves Consumer Electricals Limited has informed the Exchange about Bagging/Receiving of orders/contracts
CROMPTON,NSE_CORP_ANN,,Copy of Newspaper Publication,Crompton Greaves Consumer Electricals Limited has informed the Exchange about Copy of Newspaper Publication
CROMPTON,NSE_CORP_ANN,,Analysts/Institutional Investor Meet/Con. Call Updates,Crompton Greaves Consumer Electricals Limited has informed the Exchange about Schedule of meet
CUMMINSIND,NSE_CORP_ANN,,General Updates,Cummins India Limited has informed the Exchange about General Updates - Approval for acquisition of stake in Clean Max Yellowstone Private Limited
CUMMINSIND,NSE_CORP_ANN,,Outcome of Board Meeting,"Cummins India Limited has informed the Exchange regarding Outcome of Board Meeting held on December 18, 2025."
CUMMINSIND,NSE_CORP_ANN,,Outcome of Board Meeting,"Cummins India Limited has informed the Exchange regarding  Board meeting held on December 18, 2025 - Approval for acquisition of stake in Clean Max Yellowstone Private Limited"
CYIENT,NSE_CORP_ANN,,Analysts/Institutional Investor Meet/Con. Call Updates,Cyient Limited has informed the Exchange about Link of Recording
